combo_name,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,langfamily,area
friendcombo,-7.115434662114527,0.041879819279279716,converged,-7.073522331377835,0.26236448718208744,vure1239,converged,0.041912330736692205,0.15775137897309152,Vurës,Austronesian,Papunesia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-9.882195817073448,0.5773650133905474,penn1240,converged,0.09196269862319717,0.1572124494438858,Pennsylvania German,Indo-European,North America
emuscombo,-10.000166399064998,0.0878225135921182,converged,-9.843206621659512,1.000026553071074,huaa1248,converged,0.15695977740548628,0.15635383735721037,East Taa,Tuu,Africa
crustaceanscombo,-9.999836226712448,0.059008369995819904,converged,-9.84320662166556,1.0000265531084105,huaa1248,converged,0.15662960504688783,0.15635348667052076,East Taa,Tuu,Africa
weathercombo,-5.071370521488293,0.025768525648621546,converged,-5.0590005963129965,0.07493288565822136,klam1254,converged,0.012369925175296892,0.15610737201952563,Klamath-Modoc,isolate_klam1254,North America
tastecombo,-7.2948557767451625,0.03374265131408828,converged,-7.268993479622842,0.16227793033879745,efik1245,converged,0.025862297122320577,0.15603300724781036,Efik,Atlantic-Congo,Africa
togethernesscombo,-10.303586516876653,0.059922115892967025,converged,-10.148001129604019,1.0000195770496707,arom1237,converged,0.15558538727263382,0.15530378063214104,Aromanian,Indo-European,Eurasia
swordcombo,-8.56129559828414,0.06521970276673147,converged,-8.483119211121505,0.5000517308629326,yeyi1239,converged,0.07817638716263531,0.15502361269124904,Yeyi,Atlantic-Congo,Africa
herocombo,-9.28852340265396,0.05894775618697278,converged,-9.198638842009842,0.5773794758280347,tuva1244,converged,0.08988456064411743,0.15487169360909264,Tuvalu,Austronesian,Papunesia
glancecombo,-8.5671080108397355,0.04326776377601031,converged,-8.489410810411583,0.5000514060492551,east2387,converged,0.07769720042815287,0.1548000237636027,East Limba,Atlantic-Congo,Africa
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-9.408289184660212,0.7071357865689566,mung1266,converged,0.1097713548568997,0.15449853011934064,Mungaka,Atlantic-Congo,Africa
acorncombo,-9.845478275954255,0.07426202821494192,converged,-9.691160293664023,1.000030913385307,luxe1241,converged,0.15431798229023208,0.15388948292406995,Moselle Franconian,Indo-European,Eurasia
parrotcombo,-8.982356408176061,0.060100376073987154,converged,-8.893069274612568,0.577389913837498,lisu1250,converged,0.08928713356349327,0.15380824667364665,Lisu,Sino-Tibetan,Eurasia
acorncombo,-9.845478275954255,0.07426202821494192,converged,-9.6918401663686,1.0000308923756418,urip1240,converged,0.15363810958565516,0.1532115012435768,Uripiv,Austronesian,Papunesia
battlecombo,-6.976138854315696,0.03691289710347502,converged,-6.943195279119071,0.21320770460170885,agus1235,converged,0.03294357519662494,0.15224905991153379,Agusan Manobo,Austronesian,Papunesia
emuscombo,-10.000166399064998,0.0878225135921182,converged,-9.847816267673977,1.0000264309543434,lush1249,converged,0.15235013139102094,0.15176200517837013,Mizo,Sino-Tibetan,Eurasia
crustaceanscombo,-9.999836226712448,0.059008369995819904,converged,-9.847816267680026,1.00002643099168,lush1249,converged,0.1520199590324225,0.15175198535130321,Mizo,Sino-Tibetan,Eurasia
warriorcombo,-8.90860326590783,0.07394098632165902,converged,-8.841515326847691,0.43602179122740836,raro1241,converged,0.06708793906013888,0.15169794838248254,Southern Cook Island Maori,Austronesian,Papunesia
beercombo,-8.668034349927114,0.08231804308731672,converged,-8.590919774781215,0.5026652933540944,tere1278,converged,0.07711457514589881,0.15139472953420352,Terei,South Bougainville,Papunesia
togethernesscombo,-10.303586516876653,0.059922115892967025,converged,-10.15284451068373,1.0000194824612516,kwom1262,converged,0.15074200619292277,0.15046918016302566,Kwoma,Sepik,Papunesia
doctorcombo,-8.005732713763168,0.05127584858413543,converged,-7.975260516216403,0.19614985116251085,akka1240,converged,0.030472197546764335,0.1503009945845123,Akkadian,Afro-Asiatic,Eurasia
chrysaliscombo,-10.137230682019165,0.0623571593202758,converged,-9.986955157793679,1.000022997858501,tain1252,converged,0.15027552422548673,0.14998077082160122,Tai Nüa,Tai-Kadai,Eurasia
timeofdaycombo,-6.078122800297893,0.02371624230545004,converged,-6.051959794862185,0.17469477846944526,kosr1238,converged,0.026163005435708264,0.14840278652203576,Kosraean,Austronesian,Papunesia
crosscombo,-7.4515410314382615,0.033002016025786715,converged,-7.428402282166026,0.15254386618122462,tong1325,converged,0.023138749272235692,0.14825599188468916,Tonga,Austronesian,Papunesia
shipcombo,-6.762292595853047,0.06985593581464115,converged,-6.727328665681711,0.22693773773409778,niue1239,converged,0.0349639301713367,0.14725004682168755,Niuean,Austronesian,Papunesia
smellcombo,-6.649754599062027,0.027501063264626067,converged,-6.627423901632696,0.1491698189186726,magu1243,converged,0.02233069742933136,0.14721883862147214,Maguindanao,Austronesian,Papunesia
corncombo,-7.352439349974158,0.07403944273650508,converged,-7.312919381203915,0.25924814254742606,lund1271,converged,0.039519968770243,0.14658008227118183,Lundayeh,Austronesian,Papunesia
grasscombo,-6.671180427674576,0.04912275979223496,converged,-6.642579924252026,0.18910538092943344,tere1278,converged,0.028600503422550716,0.14638293991741141,Terei,South Bougainville,Papunesia
togethernesscombo,-10.303586516876653,0.059922115892967025,converged,-10.157431853020539,1.0000193932945667,chan1310,converged,0.1461546638561142,0.1458901533602156,Chantyal,Sino-Tibetan,Eurasia
insectscombo,-7.557973085621722,0.05423634538622063,converged,-7.524161394499562,0.22567484694416504,yabe1254,converged,0.03381169112215954,0.1456768399721274,Yabem,Austronesian,Papunesia
basketcombo,-7.051813433243312,0.06154854349911891,converged,-7.0109478269874606,0.27386445620584,paam1238,converged,0.040865606255851006,0.14558696627583473,Paama,Austronesian,Papunesia
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-9.414627248444463,0.7071356033163293,nyol1238,converged,0.10343329107264942,0.14557801130434903,Nyole,Atlantic-Congo,Africa
obligationcombo,-7.768654108618726,0.04480465427217247,converged,-7.737616282864934,0.20855987690914002,clas1252,converged,0.031037825753791992,0.1455000899083949,Classical Syriac,Afro-Asiatic,Eurasia
togethernesscombo,-10.303586516876653,0.059922115892967025,converged,-10.158207287302572,1.0000193782623992,boko1267,converged,0.14537922957408078,0.1451161246315698,Bokobaru,Mande,Africa
emuscombo,-10.000166399064998,0.0878225135921182,converged,-9.854664887846873,1.0000262505599349,nung1283,converged,0.14550151121812505,0.14493984908407123,Nung,Tai-Kadai,Eurasia
crustaceanscombo,-9.999836226712448,0.059008369995819904,converged,-9.854664887852921,1.0000262505972717,nung1283,converged,0.1451713388595266,0.14491546365661295,Nung,Tai-Kadai,Eurasia
camelcombo,-9.354768674442415,0.06870242193625022,converged,-9.289207003733239,0.4472342600104682,mars1254,converged,0.06556167070917596,0.14489394836597103,Marshallese,Austronesian,Papunesia
judgecombo,-8.293827452377192,0.04735730481615822,converged,-8.254677486914133,0.2672959889529039,caju1236,converged,0.03914996546305893,0.14422067287499601,Cajun French,Indo-European,North America
battlecombo,-6.976138854315696,0.03691289710347502,converged,-6.9542509681105,0.14815456266004334,tiko1237,converged,0.021887886205195883,0.14335436501406765,Tikopia,Austronesian,Papunesia
