word,estimate_set,se_set,convergence_set,estimate,se,family,convergence,delta,zeta
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.678033033948311,0.3806359921795612,isolate_savo1255,converged,-0.009858113575145211,-0.02588740036721735
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.43088105576356,0.20091178235319143,Iroquoian,converged,-0.005745478316675268,-0.0285392410467332
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.923940503377453,0.07872985839637296,Nuclear Trans New Guinea,converged,-0.0022944900952142078,-0.02873770515882631
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.758880461956999,0.5654567008178748,isolate_tiwi1244,converged,-0.018171262644945507,-0.0320968302150179
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.763893409830761,0.6392733443182195,West Bomberai,converged,-0.023184210518707005,-0.036232303210268615
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.9302618386935055,0.21674804769524114,Arawakan,converged,-0.008615825411267153,-0.0396759853515721
rain_group,-6.4730328985387,0.017478542464112987,converged,-6.492887538124077,0.42510394230519993,Tupian,converged,-0.019854639585377143,-0.04666594809532112
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.768928681350857,0.442231738962275,Kru,converged,-0.028219482038803534,-0.06368596374878546
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.43539233362031,0.13954567145012842,Mayan,converged,-0.010256756173425252,-0.07319422835040959
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.935907512193748,0.17591023105494097,Cochimi-Yuman,converged,-0.01426149891150974,-0.08084245576204505
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.949766844074325,0.31714366313096254,Surmic,converged,-0.028120830792087048,-0.08859139329071787
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.457376520289355,0.35241741580738095,Nakh-Daghestanian,converged,-0.0322409428424697,-0.09142490228339065
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.953627853814437,0.3283449587031618,Caddoan,converged,-0.03198184053219855,-0.09732356889054325
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.70581941594732,0.38063215050972143,Dajuic,converged,-0.03764449557415439,-0.09885541974652721
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.954471132738439,0.3222126931104039,Ta-Ne-Omotic,converged,-0.03282511945620037,-0.10178762086369136
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.807043071612729,0.6392703901787544,Tupian,converged,-0.06633387230067544,-0.10366710817877473
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.459953742719188,0.32360838775306583,isolate_sume1241,converged,-0.03481816527230297,-0.10750956975083142
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.4630429353017,0.34385430939411754,isolate_yana1271,converged,-0.037907357854814805,-0.11016630203244973
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.81696702598841,0.677264795970927,isolate_savo1255,converged,-0.07625782667635583,-0.11250214283392453
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.696979386957424,0.25113117289545767,Kru,converged,-0.028804466584258392,-0.11458038940260044
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.804024185053479,0.5403233702337531,isolate_sume1241,converged,-0.06331498574142547,-0.11702519591281986
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.964017696784754,0.3222113590204561,West Bomberai,converged,-0.04237168350251519,-0.13139116488014832
dance_group,-7.065078338799527,0.02816842071509926,converged,-7.1350203839120665,0.4977389315029061,Koiarian,converged,-0.06994204511253965,-0.14029505409008458
snow_group,-7.399315657384432,0.026185962528583316,converged,-7.487710937632391,0.5465436797362586,Cariban,converged,-0.08839528024795928,-0.1615497531812811
dance_group,-7.065078338799527,0.02816842071509926,converged,-7.092180491878512,0.16171178672213718,Dravidian,converged,-0.027102153078985225,-0.16510926888842123
snow_group,-7.399315657384432,0.026185962528583316,converged,-7.462395887739291,0.36955830439493453,Otomanguean,converged,-0.06308023035485899,-0.1702639812452523
rain_group,-6.4730328985387,0.017478542464112987,converged,-6.545418900595717,0.4084109719325818,Ijoid,converged,-0.07238600205701662,-0.1770760560717572
snow_group,-7.399315657384432,0.026185962528583316,converged,-7.471898176006615,0.3864834960246309,Arawakan,converged,-0.07258251862218312,-0.18737278547719538
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.704542442825945,0.19319681537292696,Cochimi-Yuman,converged,-0.03636752245277908,-0.18791254282649
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.496178145273946,0.33878075795877083,isolate_tiwi1244,converged,-0.0710425678270612,-0.2095514106504593
rain_group,-6.4730328985387,0.017478542464112987,converged,-6.536817623930575,0.30029758380932886,Kru,converged,-0.06378472539187463,-0.21204618470987543
dance_group,-7.065078338799527,0.02816842071509926,converged,-7.093874017873535,0.13248383470510902,Austroasiatic,converged,-0.028795679074008262,-0.2126000780870653
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.470014439625276,0.2056784888220493,Chibchan,converged,-0.044878862178390655,-0.2177783809158465
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.9904274567270415,0.312876058919476,Quechuan,converged,-0.06878144344480308,-0.21963822870482444
rain_group,-6.4730328985387,0.017478542464112987,converged,-6.485922146318649,0.0547634767329544,Afro-Asiatic,converged,-0.012889247779948931,-0.22421889529694622
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.497199640605784,0.3172924848310227,isolate_klam1254,converged,-0.07206406315889868,-0.22693754461840926
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.7462052512246595,0.34214837871753545,Nakh-Daghestanian,converged,-0.0780303308514938,-0.22793289169192524
