word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.479878139589854,0.2004218154614158,naka1262,converged,0.4796272649603939,2.3907726578221107,Nakanai,Papunesia,Austronesian,150.888,-5.59931,13000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.524379494746752,0.18240112235419237,niue1239,converged,0.43512590980349586,2.382756907976403,Niuean,Papunesia,Austronesian,190.14,-19.06,7950,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.455827241542629,0.34083690495075186,esan1238,converged,0.8131380361623117,2.3826573105647775,Esan,Africa,Atlantic-Congo,6.33917,6.25685,200000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.013837345234411,0.25873558322296664,yaqu1251,converged,0.6170120396450605,2.3822267058508704,Yaqui,North America,Uto-Aztecan,249.319,29.9446,14620,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.765889208665146,0.21067493624860253,wara1300,converged,0.5030760690397944,2.3799526477442767,Waray,Papunesia,Austronesian,125.012,11.4911,2570000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.535346371188541,0.17808406945053024,cent2131,converged,0.4241590333617067,2.378871951805741,Central Tarahumara,North America,Uto-Aztecan,252.846,27.5648,55000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.572935065026463,0.29278927331549404,klam1254,converged,0.6960302126784779,2.3731200468613034,Klamath-Modoc,North America,isolate_klam1254,238.296,42.5861,100,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-6.076254455230735,0.17284986484589668,tson1249,converged,0.409943559522155,2.368207027903805,Tsonga,Africa,Atlantic-Congo,31.8105,-23.5754,3650000,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.533935588043037,0.06140983513242392,wels1247,converged,0.14644881530776566,2.3640688259496536,Welsh,Eurasia,Indo-European,-4,52,508000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.837924188233139,0.050739858139758884,stan1306,converged,0.12158121631710817,2.360728455186557,Standard Malay,Eurasia,Austronesian,101.699,3.08896,33200000,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.331549401348832,0.14774946669349934,chuu1238,converged,0.3488350020019704,2.3574095590482966,Chuukese,Papunesia,Austronesian,151.598607,7.346993,45900,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.206534880568863,0.20100230378796594,west2630,converged,0.4738495227819399,2.355499648795557,Western Abenaki,North America,Algic,287.3489,46.1381,100,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.943761244535251,0.23073420148148974,mang1401,converged,0.5424367702176394,2.348985621041601,Mangareva,Papunesia,Austronesian,225.03,-23.1095,1600,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.597680974007433,0.3526681770619753,medi1245,converged,0.827785025564113,2.3449020421103937,Media Lengua,South America,mixedlanguage_medi1245,281.4608,-1.04518,1000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.700195401168609,0.3759832216482431,unam1242,converged,0.8791572975841744,2.3359087093061954,Unami,North America,Algic,285.7,40.4,16000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.04106048094022,0.25241691692700574,kwai1243,converged,0.5897889039392519,2.333999410117,Kwaio,Papunesia,Austronesian,160.965,-8.93744,13200,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.051007472026471,0.24816068419029702,mota1237,converged,0.5798419128530012,2.333902618316408,Mota,Papunesia,Austronesian,167.690924,-13.835361,900,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.453831752756747,0.34890465662847747,tiri1258,converged,0.8151335249481937,2.333411306146797,Tiri-Mea,Papunesia,Austronesian,165.792,-21.8147,260,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.497226638453752,0.3311114268085493,iraq1241,converged,0.7717386392511889,2.3275922097862862,Iraqw,Africa,Afro-Asiatic,35.2939,-4.19948,462000,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.989326545569003,0.21345315576528123,lozi1239,converged,0.4968714691838878,2.325544420260562,Lozi,Africa,Atlantic-Congo,24.7398,-17.7052,694000,other
