word,predictor,coefficient,p_val,warnings_m1,warnings_m2
treatment,maxmonth_wnd,0.08650514915733341,NA,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting'),Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
war,maxmonth_wnd,0.08680323741841034,0.22257728121931072,,
event,maxmonth_wnd,0.08681263972481139,0.22780812958257446,,
nature,maxmonth_wnd,0.08691512899589426,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
fog,maxmonth_wnd,0.08695657611143819,0.22974422596683888,,
famine,maxmonth_wnd,0.08839014357341203,0.19408254291211144,,
rush,maxmonth_wnd,0.08859401593518601,0.3078345302283036,,
book,maxmonth_wnd,0.08891956444939607,0.14454662311663394,,
report,maxmonth_wnd,0.08912076680464694,0.20866747554918105,,
paper,maxmonth_wnd,0.08924137852170524,0.1614476109198368,,
description,maxmonth_wnd,0.08952981962097677,0.43245433663628896,,
university,maxmonth_wnd,0.0896506557280566,0.38539918195652006,,
method,maxmonth_wnd,0.08975300064864401,0.3846394154558677,,
bowel,maxmonth_wnd,0.09012986497333512,0.3470195280510203,,
glass,maxmonth_wnd,0.09015784095629154,0.11648481804136143,,
drill,maxmonth_wnd,0.09075222571114917,0.3204649676896256,,
stroke,maxmonth_wnd,0.09082058757738791,0.3063645992897749,,
stab,maxmonth_wnd,0.09104198388164893,0.20867937429740555,,
marrow,maxmonth_wnd,0.09121830995919837,0.24642649291954893,,
rank,maxmonth_wnd,0.09229785919334439,0.3818330906042125,,
task,maxmonth_wnd,0.09236570725421521,0.27453216582694456,,
stuff,maxmonth_wnd,0.09240462457125592,0.27009180666304544,,
oil,maxmonth_wnd,0.09240767943964363,0.1193936395909787,,
race,maxmonth_wnd,0.09249651125031035,0.20374196040102036,,
music,maxmonth_wnd,0.09320252763961598,0.3164281124234357,,
file,maxmonth_wnd,0.09423303652021615,0.18917853977229726,,
custom,maxmonth_wnd,0.09468258537861757,0.18543541534279662,,
niece,maxmonth_wnd,0.09483592418239055,0.23063335470703694,,
army,maxmonth_wnd,0.09498039694134833,0.4162329181433307,,
relative,maxmonth_wnd,0.09506227469623317,0.26120496518229325,,
consequence,maxmonth_wnd,0.09592994371057531,0.3535560342688496,,
love,maxmonth_wnd,0.09639172709820296,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
ball,maxmonth_wnd,0.09646514234780018,0.06903465940892461,,
king,maxmonth_wnd,0.097487253859769,0.32718963469466394,,
thanks,maxmonth_wnd,0.09783787103724674,0.20104795196155073,,
rib,maxmonth_wnd,0.09834547123965595,0.06998547548196214,,
decision,maxmonth_wnd,0.09843120509477526,0.2866922226442382,,
context,maxmonth_wnd,0.09843502984357683,NA,Model convergence problem; singular convergence (7). See vignette('troubleshooting'),Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
bell,maxmonth_wnd,0.09900996364269275,0.1233702063397607,,
land,maxmonth_wnd,0.09903638872583628,0.045230483724864205,,
exercise,maxmonth_wnd,0.09909380486214493,0.29408033210771123,,
horn,maxmonth_wnd,0.09943136063303298,0.11881349405852958,,
rock,maxmonth_wnd,0.09967394723406671,0.12391468467226355,,
silence,maxmonth_wnd,0.09968017307790256,0.29242481923194846,,
court,maxmonth_wnd,0.10029858336677323,0.1742662482161009,,
wave,maxmonth_wnd,0.1003573697914789,0.08999836629886761,,
difference,maxmonth_wnd,0.10036623783025024,0.17527531165102792,,
brain,maxmonth_wnd,0.10055264495432063,0.06785772189520665,,
slide,maxmonth_wnd,0.10103438522951737,0.14823350616984038,,
match,maxmonth_wnd,0.10124404713229324,0.06277377880838363,,
temple,maxmonth_wnd,0.10144226110380695,0.37626283933726745,,
wisdom,maxmonth_wnd,0.10184476439849005,0.2923268655469342,,
hug,maxmonth_wnd,0.1020149062836935,0.22960281471387572,,
record,maxmonth_wnd,0.10276230988733964,0.23543146513850538,,
handkerchief,maxmonth_wnd,0.10279672553177324,0.23043905064345635,,
cost,maxmonth_wnd,0.10318851333121917,0.22786339134847947,,
travel,maxmonth_wnd,0.10328708354924428,0.09508541478749805,,
bed,maxmonth_wnd,0.10333029773717423,0.021237050380258863,,
trumpet,maxmonth_wnd,0.10530132241724999,0.29583252436890695,,
joy,maxmonth_wnd,0.10534645107322738,0.2516344127312971,,
rake,maxmonth_wnd,0.10597875462759285,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'),Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
spring,maxmonth_wnd,0.10599033498792275,0.03944613234411077,,
dislike,maxmonth_wnd,0.10684047629272773,0.20576501152167695,,
memory,maxmonth_wnd,0.10732388006106595,0.19670090054121742,,
moss,maxmonth_wnd,0.10805414302801866,0.23339200544886435,,
chair,maxmonth_wnd,0.10856023027436482,0.09265048592760958,,
spy,maxmonth_wnd,0.10874052532448983,0.08179302010554147,,
volume,maxmonth_wnd,0.10876589955939968,0.21936418452765127,,
danger,maxmonth_wnd,0.1089734886168211,0.23066765507095574,,
