word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.928420279427297,0.20009793077838464,arom1237,converged,-0.1523938625869432,-0.7563727058505024,Aromanian,Eurasia,Indo-European,21.2,40.616,69700,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.133342793305554,0.4083082142659576,gras1249,converged,-0.31375436449773453,-0.7613070997907786,Grass Koiari,Papunesia,Koiarian,147.437,-9.51218,1700,other
smell_group,-6.385458270875734,0.023237955848480273,converged,-6.53958595561888,0.20014445653876517,hoch1243,converged,-0.15412768474314564,-0.7649435240164562,Ho-Chunk,North America,Siouan,271.5,43.5,100,hunter-gatherer
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.164908595803873,0.44727719910554964,busa1253,converged,-0.3453201669960535,-0.7660759005009468,Busa,Africa,Mande,4.39929,9.91074,40000,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.763192875252724,0.3375364661468162,vure1239,converged,-0.2632189132971865,-0.7697492159105185,Vurës,Papunesia,Austronesian,167.451412,-13.905677,1050,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.765082969155913,0.3375363338481988,naka1262,converged,-0.2651090072003761,-0.7752768438969229,Nakanai,Papunesia,Austronesian,150.888,-5.59931,13000,other
smell_group,-6.385458270875734,0.023237955848480273,converged,-6.528883415144704,0.18270747442411572,west2615,converged,-0.1434251442689698,-0.7787255392202117,Western Apache,North America,Athabaskan-Eyak-Tlingit,249.877,33.8574,12700,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.75381371261099,0.3206484463341626,gela1263,converged,-0.2538397506554526,-0.7803358228135765,Gela,Papunesia,Austronesian,160.186,-9.04587,11900,other
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.956495316583546,0.2295249589757467,sout2832,converged,-0.18046889974319225,-0.7821624890616953,Southwestern Dinka,Africa,Nilotic,28.0613,8.81115,450000,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.768382061562043,0.3375361035237953,casi1235,converged,-0.26840809960650613,-0.7849251328213328,Casiguran-Nagtipunan Agta,Papunesia,Austronesian,121.878,16.2176,610,hunter-gatherer
smell_group,-6.385458270875734,0.023237955848480273,converged,-6.488033285029637,0.1281342494887192,toab1237,converged,-0.1025750141539028,-0.7876790517797106,To'abaita,Papunesia,Austronesian,160.619,-8.39233,12600,other
wind_group,-5.878775686911985,0.026640083388817612,converged,-5.995763802693119,0.14604642788764544,lush1249,converged,-0.1169881157811341,-0.7880310132507068,Mizo,Eurasia,Sino-Tibetan,92.6247,22.6138,541750,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.456595211613243,0.19260111659390103,hava1248,converged,-0.15379456677752312,-0.7904638475558773,Havasupai-Walapai-Yavapai,North America,Cochimi-Yuman,246.615,35.6302,2690,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.074244260911472,0.3162770085949003,lozi1239,converged,-0.25465583210365317,-0.7928499854832611,Lozi,Africa,Atlantic-Congo,24.7398,-17.7052,694000,other
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.9825534890589,0.2583186573474591,luxe1241,converged,-0.20652707221854616,-0.7962010945870879,Moselle Franconian,Eurasia,Indo-European,6.14931,49.6839,320000,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.657301396489609,0.18717113026618784,khas1269,converged,-0.1573274345340714,-0.8067035787045073,Khasi,Eurasia,Austroasiatic,91.9998,24.977,865000,other
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.941955397195081,0.20422275201391368,agus1235,converged,-0.16592898035472725,-0.8071380600860949,Agusan Manobo,Papunesia,Austronesian,125.742,8.62731,60000,other
wind_group,-5.878775686911985,0.026640083388817612,converged,-5.959859207697295,0.09634910859483607,warl1254,converged,-0.08108352078530956,-0.8111254492390939,Warlpiri,Australia,Pama-Nyungan,131.05,-20.1008,2670,hunter-gatherer
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.980482834514953,0.25011620479801866,hava1248,converged,-0.20445641767459932,-0.8138438930415008,Havasupai-Walapai-Yavapai,North America,Cochimi-Yuman,246.615,35.6302,2690,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.779983458391486,0.33753529958484885,tere1278,converged,-0.28000949643594897,-0.818853833214508,Terei,Papunesia,South Bougainville,155.745,-6.70051,26500,other
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.903986280461801,0.1543807735778486,sang1328,converged,-0.12795986362144696,-0.8193743298796047,Sango,Africa,Atlantic-Congo,20.1702,6.78584,5400,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.06077683570409,0.28872069623220736,mbay1241,converged,-0.24118840689627064,-0.8201041055765428,Mbay,Africa,Central Sudanic,15.7328,8.23066,88300,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.191740021302532,0.4472755153473905,sout2789,converged,-0.3721515924947134,-0.8256031656588972,Central Dagaare,Africa,Atlantic-Congo,-2.52265,10.4226,700000,other
