word,estimate_set,se_set,convergence_set,estimate,se,family,convergence,delta,zeta
dance_group,-6.863404780266267,0.054153684433042006,converged,-7.08148364400639,0.6559995272342204,Nyulnyulan,converged,-0.2180788637401232,-0.33131055183250663
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.9250335587329,0.11837681215251437,Nuclear Trans New Guinea,converged,-0.04322102855861143,-0.35522988587523446
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.362365684526484,0.2039362001223414,Mande,converged,-0.07672717316791289,-0.3724445364356674
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.466955685189119,0.23973896725877145,Tai-Kadai,converged,-0.08998994851098718,-0.373486340165131
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.921646416982284,0.18883201586562753,Austroasiatic,converged,-0.07810878879241123,-0.395086670943173
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.51130691480241,0.31953823805055087,isolate_klam1254,converged,-0.13434117812427804,-0.41923365017292646
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.521477237355045,0.34196695794222864,isolate_tiwi1244,converged,-0.14451150067691287,-0.4215448379036866
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.7485997131835935,0.5334204801557075,isolate_tiwi1244,converged,-0.2363105254804747,-0.44047080542982014
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.521368118317331,0.32008488763822857,Sahaptian,converged,-0.14440238163919883,-0.4498660199780892
ice_group,-7.843537628189873,0.0585483889898855,converged,-8.089836016323169,0.5268398423520952,Central Sudanic,converged,-0.24629838813329563,-0.46464105422484153
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.761654679919735,0.5334198773265368,Koiarian,converged,-0.24936549221661597,-0.46480511899098537
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.920239829822143,0.320437090312178,Maiduan,converged,-0.15834125032330792,-0.4927019390255051
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.779457655318658,0.5334190678321007,Baining,converged,-0.26716846761553903,-0.4979897441908858
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.503464559613127,0.2370319423358767,Khoe-Kwadi,converged,-0.1264988229349946,-0.5309444950341875
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.900990916896008,0.2556855103122184,Iroquoian,converged,-0.13909233739717308,-0.5415148511868324
wind_group,-5.8818125301742885,0.028118712010424887,converged,-6.063261508614685,0.33249955266013126,Sepik,converged,-0.18144897844039676,-0.5437709708127704
ice_group,-7.843537628189873,0.0585483889898855,converged,-8.178383010630458,0.6007629944103186,Koiarian,converged,-0.3348453824405855,-0.5547386817168463
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.812466798931639,0.5334176045192883,South Bougainville,converged,-0.30017761122851994,-0.5595187881055796
wind_group,-5.8818125301742885,0.028118712010424887,converged,-6.0780926984074695,0.33872073138589975,Baining,converged,-0.19628016823318095,-0.5774884837093067
ice_group,-7.843537628189873,0.0585483889898855,converged,-8.02249744521449,0.3022173444652694,Mayan,converged,-0.1789598170246176,-0.5813471973122711
ice_group,-7.843537628189873,0.0585483889898855,converged,-8.094557541514622,0.4174586133371984,Tai-Kadai,converged,-0.2510199133247486,-0.5954769301073329
