id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,volume,newlangname,newlangnamelink,delete,subclass,review_flag,review_note,sjd,tk
nyp.33433081855359,1903,"An English-Siamese dictionary containing 14,000 words and idiomatic expressions: originally prepared by S. G. McFarland, D. D., 1865.",NA,"Amer. Presby. mission press, 1903.",Siamese,siam1241,Siamese,thai1261,NA,NA,Thai,https://glottolog.org/resource/reference/id/147448,NA,english-x,NA,NA,1,1
uc1.$b374701,1890,"An English-Siamese dictionary, revised and enlarged, containing a large number of modern and current words, meanings, idiomatic phrases and renderings not found in the former editions.",NA,"American Press, 1890.",Siamese,siam1241,Siamese,thai1261,NA,NA,Thai,https://glottolog.org/resource/reference/id/147448,NA,english-x,NA,NA,1,1
uc1.31175003943548,1910,An English-Sindhi dictionary / compiled by Dulamal Bulchand ; rev. by Manghersing Mulchand Lalvani.,NA,"Kaiseria Press, [1904].",Sindhi,sind1272,Sindhi,sind1272,uc1.31175003943548,NA,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015010447376,1965,An English-Sinhalese dictionary.,NA,M. D. Gunasena [1965],NA,NA,Sinhalese,sinh1246,NA,NA,Sinhala,https://glottolog.org/resource/reference/id/152805,NA,english-x,NA,NA,1,NA
mdp.39015052932384,1966,An English-Tagalog and Tagalog-English dictionary.,NA,G. O. T. [1966],Tagalog,taga1270,Tagalog,taga1270,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015029564021,1953,An English-Tamil dictionary / compiled by P. Percival.,NA,"Madras School Book and Literature Society, 1953.",Tamil,tami1289,Tamil,tami1289,NA,NA,NA,NA,NA,english-x,NA,NA,NA,1
uc1.$b380989,1951,An English-Telugu dictionary : with copious English synonyms and brief and accurate definitions / by P. Sankaranarayana.,NA,"V. R. Sastrulu, 1951.",Telugu,telu1262,Telugu,telu1262,uc1.$b380989,NA,NA,NA,NA,english-x,NA,NA,1,NA
uc1.$b235361,1965,"An English-Telugu medium dictionary, with English synonyms & definitions, by P. Sankaranarayana.",NA,"Venkatarama, 1965.",Telugu,telu1262,Telugu,telu1262,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
hvd.32044017947441,1880,"An English-Temme dictionary; or, Ká̕fa ka así̕m tra atrḁ́̕ntr trḁ-Yíṅklis̆ re̲ así̕m trḁ-Témne̲ atra-bē̇kane-e. By the Rev. C. F. Schlenker.",NA,"Printed for the Church missionary society, 1880.",Tem,temm1241,Temme,west2452,NA,NA,Western Temne,https://catalog.hathitrust.org/Record/100326374,NA,english-x,NA,NA,1,NA
inu.30000115501466,2003,An English-Tibetan dictionary : containing a vocabulary of approximately twenty thousand words with their Tibetan equivalents / compiled by Lama Dawasamdup Kazi.,NA,"Munshiram Manoharlal, 2003, c1990.",Tibetan,tibe1272,Tibetan,tibe1272,inu.30000115501466,NA,NA,NA,NA,english-x,NA,NA,1,NA
pst.000002355092,1952,An English-Turkish dictionary / by Fahir Iz and H. C. Hony.,NA,"Clarendon Press, [1960, c1952].",Turkish,nucl1301,Turkish,nucl1301,pst.000002355092,NA,NA,NA,NA,english-x,NA,NA,1,NA
nnc1.cu58958282,1809,"An English-Welsh dictionary; neu, Eir-lyfr saes'neg a chymraeg. An English-Welsh dictionary in which the English words are accompanied by those which correspond with them in the Welsh language; carefully compiled from the best sources in both languages, by Thomas Evans.",NA,"Printed and sold by W. Williams, 1809.",Welsh,wels1247,Welsh,wels1247,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
umn.31951p01033200u,1861,"An English-Welsh pronouncing dictionary,",NA,"W. Spurrell; [etc., etc.] 1861.",Welsh,wels1247,Welsh,wels1247,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
umn.31951t000324564,1844,"An English-Welsh pronouncing dictionary with an analysis of the orthography of the Welsh language; Geirlyfr seiniadol (neu gynaniaethol) saesoneg a chymraeg, gan Thomas Edwards (Caerfallwch), ail argraffiad gans D. Hughes.",cyf.1,"P.M. Evans, 1844.",Welsh,wels1247,Welsh,wels1247,NA,umn.31951t000324564,NA,NA,NA,english-x,NA,NA,1,NA
umn.31951p01104143m,1844,"An English-Welsh pronouncing dictionary with an analysis of the orthography of the Welsh language; Geirlyfr seiniadol (neu gynaniaethol) saesoneg a chymraeg, gan Thomas Edwards (Caerfallwch), ail argraffiad gans D. Hughes.",cyf.2,"P.M. Evans, 1844.",Welsh,wels1247,Welsh,wels1247,NA,umn.31951t000324564,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015011049437,1909,"An English-Welsh pronouncing dictionary, with preliminary observations on the elementary sounds of the English language, a copious vocabulary of the roots of English words, and a list of Scripture proper names. Geiriadur cynaniaethol seisoneg a chymraeg ... Gan William Spurrell ...",NA,"W. Spurrell a'i fab, 1909",Welsh,wels1247,Welsh,wels1247,mdp.39015011049437,NA,NA,NA,NA,english-x,NA,NA,1,NA
uc1.b5371802,1915,"An English-Zulu dictionary, with the principles of pronunciation and classification fully explained, with supplement.",NA,"K. Paul, Trench, Trübner & co., 1915.",Zulu,zulu1248,Zulu,zulu1248,uc1.b5371802,NA,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015050498537,2000,An erromangan (Sye) dictionary / Terry Crowley.,NA,"Research School of Pacific and Asian Studies, Australian National University, 2000.",Crow,crow1244,Sye,siee1239,NA,NA,Sie,https://glottolog.org/resource/reference/id/41979,NA,x-english (and english-x),NA,NA,NA,1
uc1.$b624156,1923,An Essex dialect dictionary / by Edward Gepp.,NA,"G. Routledge, 1923.",Essex,esse1265,Essex,esse1265,NA,NA,NA,NA,NA,dialect of English,NA,NA,NA,1
ien.35556005007158,1983,An Ethnologic dictionary of the Navaho language.,NA,"AMS Press, [1983, c1910]",NA,NA,Navaho,nava1243,NA,NA,Navajo,https://glottolog.org/resource/reference/id/572873,NA,x-english (and english-x),NA,NA,NA,1
chi.096305896,1831,"A new abridgement of Ainsworth's dictionary, English and Latin ... by John Dymock.",v.1,"Sleight, 1831.",Latin,lati1261,Latin,lati1261,chi.096305896,chi.096305896,NA,NA,NA,english-x,NA,NA,NA,1
chi.21864557,1831,"A new abridgement of Ainsworth's dictionary, English and Latin ... by John Dymock.",v.2,"Sleight, 1831.",Latin,lati1261,Latin,lati1261,chi.096305896,chi.096305896,NA,NA,NA,english-x,NA,NA,NA,1
chi.085159567,1854,A new and complete American dictionary of the English and German languages ... By Wm. Odell Elwell.,NA,"G. & B. Westermann Brothers, 1854.",German,stan1295,German,stan1295,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015009170245,1798,"A new and complete dictionary of the English and Dutch languages; with a vocabulary of proper names, geographical, historical, &c. In two parts; I. English and Dutch, II. Dutch and English. Compiled chiefly from the quarto dictionary of William Sewel; and containing not only all the words to be found in that dictionary, but also numerous and important additions, collected from the best authorities in both languages. Distinguishing the preterits and participles of all the verbs, as well in English as in Dutch, with the genders of the Dutch substantives and their diminutives. Including also, in the second part, all such foreign words of general use as have been incorporated into the Dutch language, and which have never before appeared, as part of it, in any dictionary. By Samuel Hull Wilcocke.",V.2,Printed for C. Dilly [etc.] 1798.,Dutch,dutc1256,Dutch,dutc1256,NA,mdp.39015038807452,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015038807452,1798,"A new and complete dictionary of the English and Dutch languages; with a vocabulary of proper names, geographical, historical, &c. In two parts; I. English and Dutch, II. Dutch and English. Compiled chiefly from the quarto dictionary of William Sewel; and containing not only all the words to be found in that dictionary, but also numerous and important additions, collected from the best authorities in both languages. Distinguishing the preterits and participles of all the verbs, as well in English as in Dutch, with the genders of the Dutch substantives and their diminutives. Including also, in the second part, all such foreign words of general use as have been incorporated into the Dutch language, and which have never before appeared, as part of it, in any dictionary. By Samuel Hull Wilcocke.",v.1,Printed for C. Dilly [etc.] 1798.,Dutch,dutc1256,Dutch,dutc1256,NA,mdp.39015038807452,NA,NA,NA,english-x,NA,NA,1,NA
uc1.c021273027,1839,"A new and complete dictionary of the English and German languages, containing all the English words and phrases in general use up to the present time, the designation of the pronunciation and accentuation after the most approved principles. Compiled from the best authorities.",NA,"Fest, [1839?]",German,stan1295,German,stan1295,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
nyp.33433069242976,1855,"A new and complete dictionary of the English and German languages. For general use. Containing a concise grammar of either language, dialogues with reference to grammatical forms and rules on pronunciation.",English-German & German-English,"G. Westermann, 1855.",German,stan1295,German,stan1295,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
nnc1.0037108425,1800,"A new and complete dictionary of the english and german languages : with two sketches of grammar, english and german / by J.H. Kaltschmidt.",pt.1,"printed for C. Tauchnitz, <1837>-",Kal,kall1245,German,stan1295,NA,nnc1.0037108425,NA,NA,NA,english-x,1,duplicate and volume flag,1,NA
uc2.ark:/13960/t8mc8tf24,1800,"A new and complete dictionary of the english and german languages : with two sketches of grammar, english and german / by J.H. Kaltschmidt.",pt.2,"printed for C. Tauchnitz, <1837>-",Kal,kall1245,German,stan1295,NA,nnc1.0037108425,NA,NA,NA,english-x,1,duplicate and volume flag,1,NA
nyp.33433069251696,1852,A new and complete English and German dictionary ... Part I. English-German. [Part II. German-English],NA,"F. Vieweg and Son, 1852.",German,stan1295,German,stan1295,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
coo1.ark:/13960/t5h99q03g,1853,"A new and complete French and English, and English and French dictionary, on the basis of the Royal dictionary English and French and French and English ... by Professor Fleming ... Professor Tibbins ... with complete tables of the verbs ... by Charles Picot, esq.; the whole prepared ... by J. Dobson ...",NA,"E. H. Butler & co., 1853.",French,stan1290,French,stan1290,coo1.ark:/13960/t5h99q03g,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.hn3slr,1884,A new and complete Russian-English dictionary.,NA,"D. Nutt, 1884.",Russian,russ1263,Russian,russ1263,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
loc.ark:/13960/t3321569q,1836,"A new and improved Latin and English dictionary: in which the quantity of each vowel is carefully marked, all irregular and heteroclite words are alphabetically inserted, on the plan of Schrevelius' Greek lexicon ...",NA,"Longman and co. [etc., 1836]",Latin,lati1261,Latin,lati1261,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
nyp.33433075922165,1856,"A new and improved standard French and English and English and French dictionary, composed from the French dictionaries of the French Academy, Laveaux, Boiste, &c.; from the English dictionaries of Webster, Johnson, Richardson ... the whole preceded by a complete treatise on pronunciation, and a table of all the irregular verbs ... By A.G. Collot ...",NA,"C.G. Henderson & Co., 1856.",French,stan1290,French,stan1290,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
