id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,newlangname,newlangnamelink,delete,review_flag
uc1.b4209364,1996,"Śabdaratnākaramu : saṅkṣiptaṃ, Telugu-Telugu nighaṇṭuvu / saṅkalanaṃ, Bi. Sītārāmācāryulu = Sitaramacharyulu's Sabda ratnakaram : abridged, a dictionary of the Telugu language / compiled by B. Sitaramacharyulu.",NA,"Asian Educational Services, 1996.",Telugu,telu1262,,,,,,,
mdp.39015061543255,2002,"Śabda-sāgara, or, A comprehensive Sanskrit-English lexicon : chiefly based on Professor Horace Hayman Wilson's Sanskrit-English dictionary and compiled from various recent authorities for the use of schools and colleges / by Jibananda Vidyasagara.",NA,"Chowkhamba Sanskrit Series Office, 2002.",Sanskrit,sans1269,,,,,,,
inu.32000002813659,1958,A Beginners' Chinese-English dictionary of the national language (Gwoyeu) / by W. Simon.,NA,"Percy Lund, Humphries, 1958.",Chi,chii1238,,,,,,,
mdp.39015068373581,1968,A Bonda dictionary.,NA,[Deccan College Postgraduate and Research Institute] 1968.,Bon,bonn1241,,,,,,,
nyp.33433074925797,1881,"Ab-o'th'-Yates dictionary; or, Walmsley fowt skoomester. Put t'gether by th' help o' fause Juddie.",NA,"A Heywood & Son, 1881.",Yatê,yate1241,,,,,,,
uiug.30112065518554,1951,Abridged edition of the student's English - Burmese dictionary / by Tun Nyein.,NA,"Aye Printing Press, 1951.",Burmese,nucl1310,,,,,,,
uva.x000832923,1980,"Abuan-English, English-Abuan dictionary / compiled by Ian Gardner.",NA,"University of Port Harcourt : Nigeria Bible Translation Trust, 1980.",Abua,abua1244,,,,,,,
uiug.30112124480432,1969,A Burmese-English dictionary / comp. by J. A. Stewart and C. W. Dunn. Pt. 5 amḥ - asāḥ.,v.1,"Luzac, 1969.",Burmese,nucl1310,,,,,,,
uiug.30112124480424,1969,A Burmese-English dictionary / comp. by J. A. Stewart and C. W. Dunn. Pt. 5 amḥ - asāḥ.,v.2,"Luzac, 1969.",Burmese,nucl1310,,,,,,,
uiug.30112124480416,1969,A Burmese-English dictionary / comp. by J. A. Stewart and C. W. Dunn. Pt. 5 amḥ - asāḥ.,v.3,"Luzac, 1969.",Burmese,nucl1310,,,,,,,
