glottocode,longitude,latitude,avgmonth_tmp,minmonth_tmp,maxmonth_tmp,avgmonth_pre,minmonth_pre,maxmonth_pre
nava1243,250.62,36.33,8.620277940813038,-3.2600000460942584,21.200000381469728,26.80305595263425,11.820000169177849,46.64666724205017
ncan1245,10.5312,6.50696,23.31638929049174,21.96666717529297,25.74333381652832,153.25278036141145,2.9400000639259813,327.5633377075195
ndau1241,33.1739,-20.1239,23.456389252344767,18.820000457763673,26.670000330607095,67.8302791648234,9.590000107387702,172.25333671569825
ndon1254,17.35,-17.22,22.470833701557584,16.506667137145996,26.320000394185385,51.95138975601229,0.0400000015894572,141.14333521525066
nenn1238,142.032,-8.62183,26.786389282014635,25.376667022705078,27.710000419616698,152.7808359205723,31.49666704336802,274.62000630696616
neng1238,167.964,-21.5305,22.5852781507704,19.396667035420737,25.71333376566569,131.93777988751728,66.56666765213012,222.68000411987305
nucl1706,48.8128,31.3443,24.772222635481093,12.386666870117187,36.00666745503744,20.324444772137536,0,62.6966678460439
nepa1254,85,28,5.5080556293535565,-2.4800000449021655,12.713333479563396,81.18583460808215,13.690000324696303,189.5433354695638
nezp1238,243.592,46.3073,7.843055742213296,-2.810000043114026,18.80333398183187,59.11805664071193,24.400000723203025,83.00333496729533
ngaa1240,127.602,-25.7514,21.619167041778564,12.523333485921224,29.40666700998942,20.161944771765008,7.486666844785214,38.76333388189475
ngal1292,133.936,-13.9783,26.683333688312107,22.01000035603841,30.10000025431315,93.44027929339144,2.4266667485237123,265.5500040690104
ngan1295,134.649,-12.8448,27.002500359217326,23.30333360036214,29.593333689371743,98.30222382050836,0.18333333631356555,265.69333928426107
ngar1288,129.0308,-21.0231,24.633611498938667,15.906667073567709,30.900000254313152,26.852778236733542,4.323333406448365,72.4366673787435
yann1237,134.877,-12.0853,27.083333688312106,23.800000190734863,29.38333377838135,99.5394463268419,0.3900000070532163,269.5700038909912
niue1239,190.14,-19.06,24.351667059792412,22.570000394185385,26.09000047047933,181.33389195336235,86.9933349609375,323.00333836873375
nort2943,216.23,69.582,-12.394722419749531,-28.830000368754067,4.870000108083089,11.863333506116437,4.2766667358577255,26.493333756178618
nort2697,46.4737,40.97768,13.113333564334447,1.163333318630854,25.213333702087404,36.55611181060473,16.11000026067098,66.51333478291829
nort2671,22.1113,68.725,-2.726388946092791,-15.520000330607097,11.610000197092692,38.22972286939621,22.426667165756225,75.74333477020264
nort2952,239.355,40.4102,7.941666797238091,-0.5033333326379459,18.02000052134196,61.79972337132527,7.726666671534379,133.71000235875448
nort2875,121.454,15.6913,24.837778186798097,22.810000292460124,26.510000546773274,212.740836569998,60.083334732055654,349.21333872477214
nort2810,-8.1409,5.17103,24.57277814547221,23.410000356038413,25.710000546773276,181.9583363817798,44.70666773319245,348.5833404541016
nort2646,71.33,34,20.604722526338367,9.066666889190675,31.086667188008626,41.91027867247661,10.960000189145406,96.80666980743408
nort2740,100.20739,18.857495,25.08611145019531,20.046667035420736,28.463333638509116,106.60889091837323,7.300000121196112,263.1900039672852
tosk1239,20,41,14.390278045336405,5.833333428700765,23.30666700998942,94.87833465139072,34.446667249997454,159.21000111897786
nort2690,69.211,40.886,15.15194468850063,1.2533333385984105,28.190000279744467,41.14000070045392,1.4033333577215672,80.59666767120362
yaki1237,239.244,46.2655,7.6750001395535135,-2.226666706552108,18.10000034968058,42.824167446543775,9.01000012929241,90.51333522796631
nort2961,272.2138,51.6192,-1.5650000186637048,-22.46666711171468,16.82333377202352,58.86305648618274,25.073333740234375,97.37333488464355
norw1258,10.71,59.92,5.236388983494705,-4.7066667457421625,16.010000292460123,67.60416775604503,40.10000047683716,94.29666811625162
nuer1246,32.3829,8.13911,28.301111523310343,26.54000040690104,30.993333625793458,69.52139011224111,1.1100000202655793,164.98666966756184
nugu1241,133.908,-31.9899,16.962778086132474,10.993333562215168,22.396667035420737,22.459444787849982,8.19666677688559,35.873333772023514
nung1283,104.286,20.8965,22.99333369202084,16.833333619435628,27.143333625793456,153.02139135930273,20.8933337132136,369.4533406575521
nupe1254,5.40031,9.18404,27.99583370950487,25.96666717529297,31.076667086283365,94.13111297800724,1.4500000447034835,229.00000483194987
nuuc1236,233.33,49.67,8.212222353472479,3.3033333542446295,14.59333356221517,282.0677825424406,86.40000127156576,464.53001098632814
nyan1308,32.8108,-14.8047,23.76583374341329,19.973333867390952,26.726666959126792,83.29639013161263,1.130000008394321,250.60667215983074
nyan1307,30.548,-0.46364,20.389167054494223,19.916666920979818,20.92666702270508,96.17139059172736,36.9933341662089,147.17333577473957
nyol1238,33.9181,0.88072,23.13611152436998,22.196667035420734,24.02333386739095,118.95527985228433,53.17333455085755,217.0800038655599
nzim1238,-2.81123,5.1785,26.291667074627345,24.566666984558104,27.613333702087402,156.52000246511565,30.853334021568298,442.8000071207682
oriy1255,85,21,26.44555597305298,20.00333372751872,32.5933339436849,113.1225021155758,2.9733334362506865,334.9033391316732
oksa1245,142.177,-5.20797,22.305833715862697,21.676667086283366,22.700000381469728,312.33833957248265,278.03333689371743,365.07667490641273
oldb1248,-3.78934,48.2452,10.751111295819282,5.936666802565257,16.283333683013915,91.66055684685708,51.230000813802086,137.2466697692871
oldc1244,114.32,36.12,13.74555577372925,-1.1866666711866856,26.710000292460123,47.18111185495638,4.16333340058724,165.4933369954427
olde1238,-1.31,51.06,9.496666824921139,3.6300000719726087,16.16666701634725,64.07750081419945,46.906667455037436,83.99666798909506
oldf1239,1.11,48.8,10.17277797172881,3.3000000787278014,17.673333644866943,54.591112066639795,45.27000087102254,65.34000145594278
oldk1249,103.866667,13.4125,27.694167031182182,25.153333854675292,29.93333365122477,118.81222441262669,2.1733333726723987,259.60667114257814
oldn1244,10.38,63.42,3.9133334044574033,-3.8100000518063704,12.223333422342936,89.25416802300347,53.063333956400555,127.19000097910563
oldn1245,31.748657,18.760713,28.48388948705461,19.48000040054321,34.7400011698405,1.7494444627935686,0,12.003333445390064
olds1249,-3.9,41.5,11.111666877567767,3.4900000631809234,20.316666984558104,40.68861182441728,16.083333559085926,57.423334248860684
orok1265,143.12819,49.36393,0.19472221895638406,-16.833333651224773,15.390000184377035,62.066112226910064,19.183333730697633,120.8966687520345
orok1267,145.34,-7.81309,26.81833374235365,25.683333905537925,27.41666711171468,271.50972718662683,162.51666971842448,406.83333587646484
osag1243,263.7051,36.7828,14.676111323696873,0.6133333320418995,27.453333791097005,79.96250143216716,31.88333406448364,127.21333554585775
paok1235,97.5969,20.211,22.825833728578356,18.1600004196167,26.236666997273762,112.2808355803084,3.883333371082942,265.7933390299479
paam1238,168.23693,-16.47548,23.627500385708277,22.01333376566569,25.223333740234374,233.73028209474353,162.006671333313,383.2033401489258
pait1244,93.6136,24.0381,19.892500273386638,13.726666768391928,23.073333676656087,164.88861416644522,10.873333533604939,419.0466705322266
