glottocode,longitude,latitude,avgmonth_wnd,minmonth_wnd,maxmonth_wnd
kamb1297,37.9532,-1.60827,3.4916666666666667,3.4,3.7
nucl1305,76.1198,13.5878,2.475,1.9000000000000001,3.4
kapi1249,154.797223,1.039166,2.1416666666666666,1.9000000000000001,2.5
kara1483,34.2761,2.45157,2.416666666666667,2.2,2.6
kash1277,74.330455,34.166825,1.375,1,1.7
newa1246,85.326,27.67,1.2,0.6,1.8
kato1244,236.568,39.7002,3.8083333333333336,3,4.6000000000000005
kati1270,70.9826,35.4145,2.55,2,3.1
kawi1241,111,-7,3.2333333333333334,2.4,4.2
kaza1248,71.454,51.17,4.016666666666667,3.1,4.9
khas1269,91.9998,24.977,1.2,0.8,1.9000000000000001
khmu1256,101.671,20.2463,1.5166666666666666,1.3,1.8
khot1251,79.04,38.33,1.7333333333333334,1.1,2.4
khwa1238,60.75,41.68,3.425,2.9,3.9
kili1268,244.877,30.5471,3.5,3.2,3.8000000000000003
ling1263,15.28532,-4.409174,1.0583333333333333,0.8,1.4000000000000001
kiny1244,29.6441,-1.56771,1.8166666666666667,1.7,1.9000000000000001
kips1239,35.258532,-0.35774,3.3666666666666667,2.8000000000000003,3.8000000000000003
kirg1245,74,42,2.075,1.5,2.5
klam1254,238.296,42.5861,3.166666666666667,2.7,3.6
miju1243,97.0444,28.4732,1.5083333333333333,1,2
koas1236,267.291,30.4096,3.95,2.9,4.8
kokb1239,91.4673,23.1916,1.4000000000000001,0.9,2.1
kore1280,126.98,37.54,2.2083333333333335,1.7,2.7
kosa1249,139.645,-4.06603,2.5083333333333333,2.2,2.8000000000000003
kosr1238,162.98,5.31,2.625,2,2.9
kuan1247,16.58,-17.7176,1.4166666666666667,1.2,1.7
kudm1238,87.33,25.92,1.1333333333333333,0.7000000000000001,1.6
kuku1273,145.188,-16.0036,4.541666666666667,3.5,5.3
kumb1268,152.913,-29.8189,3.55,3.1,4
kuru1301,86.46568,24.46442,1.4916666666666667,1,1.9000000000000001
kwai1243,160.965,-8.93744,1.1500000000000001,1,1.4000000000000001
kwak1269,232.692,50.9269,3.9333333333333336,2.8000000000000003,4.9
kwam1252,169.442,-19.5954,3.425,3.1,3.6
kwan1273,19.256,-17.9026,1.1666666666666667,1,1.4000000000000001
kwom1262,142.664,-4.08721,2.2583333333333333,2.1,2.4
kxoe1243,22.599835,-16.59051,1.4666666666666668,1.2,1.8
kyak1244,144.119,-5.52462,3.325,2.9,3.7
kate1253,147.757,-6.4795,3.3916666666666666,2.8000000000000003,3.9
komn1238,141.5878,-8.70216,4.283333333333333,3.3000000000000003,5.3
ladi1251,28.6632,41.205,3.475,2.8000000000000003,4.1
lako1247,256.05,46.3699,4.875,4.5,5.7
lamb1271,27.9026,-12.3366,1.2333333333333334,0.9,1.7
laoo1244,102.46,19,1.5083333333333333,1.3,1.7
lari1255,127.956,-3.76522,2.0833333333333335,1.7,2.7
late1255,35.195,32.276389,2.783333333333333,2.2,3.3000000000000003
lati1261,12.4502,41.9026,2.35,2,2.8000000000000003
amer1254,-1.11788,40.4414,3.6416666666666666,3.1,4.2
latv1249,24.309118,56.826108,3.95,3.3000000000000003,4.6000000000000005
lauu1247,160.872,-8.51018,1.0083333333333333,0.8,1.2
lega1249,27.1424,-3.83196,1.275,1.1,1.5
lada1244,80.6013,33.468,2.441666666666667,2,3
lena1238,169.261,-19.4763,3.4,3.1,3.6
lepc1244,88.5726,27.0869,1.0666666666666667,0.7000000000000001,1.6
nort3139,36.0468,34.1709,3.191666666666667,2.7,3.9
libe1247,-9.96128,6.92048,1.85,1.4000000000000001,2.5
limb1266,87.8859,27.2703,1,0.6,1.5
lisu1250,98.94,26.91,1.725,1.3,2.3000000000000003
lith1251,23.9601,55.1429,3.5,2.7,4.1
araw1276,303.0757,5.64295,2.2583333333333333,1.9000000000000001,2.7
lonw1238,168.016,-16.2286,2.9166666666666665,2.6,3.1
lopi1242,32.7534,4.6986,1.75,1.5,2.1
louu1245,147.346,-2.38659,2.4583333333333335,2.3000000000000003,2.7
loui1240,269.2525,30.0412,3.7833333333333337,2.8000000000000003,4.6000000000000005
lozi1239,24.7398,-17.7052,1.6666666666666667,1.3,2.1
lund1271,115.5,4.25064,1.9500000000000002,1.8,2.3000000000000003
luok1236,34.4896,-0.93296,2.9583333333333335,2.6,3.3000000000000003
lyci1241,29.764,36.517,2.466666666666667,2.1,2.8000000000000003
maay1238,43.6182,3.22288,2.716666666666667,2,3.6
mace1250,21.7932,41.5957,2.0416666666666665,1.7,2.7
maga1263,120.459,15.1954,2.4250000000000003,1.9000000000000001,2.7
magu1243,124.509,6.9453,1.6666666666666667,1.6,1.9000000000000001
maha1287,77.5317,31.0088,2.775,1.8,3.8000000000000003
mail1248,149.521,-10.3657,4.241666666666667,3.3000000000000003,5.1000000000000005
mait1250,86.2211,26.3817,0.9833333333333334,0.4,1.5
mala1533,102.262059,2.188087,1.8083333333333333,1.4000000000000001,2.7
mala1464,76.7651,9.59208,2.416666666666667,1.9000000000000001,2.8000000000000003
mala1522,286.5944,10.9286,4.191666666666666,3.4,4.8
male1292,292.59195,45.494475,3.8333333333333335,3.1,4.5
mali1284,152.214,-4.71826,2.4250000000000003,2.1,2.8000000000000003
malt1254,14.4508,35.8884,4.358333333333333,3.5,5.1000000000000005
mamb1296,31.2269,-8.86817,2.1833333333333336,1.4000000000000001,2.9
mamp1244,-0.74675,10.3884,1.2916666666666667,0.9,1.6
mand1413,83.6749,20.0962,2.575,1.6,3.7
mand1425,31.2327,5.83656,1.6166666666666667,1.5,1.8
mand1415,116.228,40.0209,2.566666666666667,1.8,3.4
mand1436,-15.6539466667,12.8165233333,1.5083333333333333,1,2
mang1401,225.03,-23.1095,3.908333333333333,3.8000000000000003,4
mani1292,93.3426,24.4409,1.3083333333333333,0.9,2
mans1262,126.181,6.79221,2.025,1.9000000000000001,2.5
manx1243,-4.45437,54.2604,5.658333333333333,4.6000000000000005,6.8
maor1246,176.541,-38.2881,2.158333333333333,1.9000000000000001,2.5
mapu1244,118.75,6.09061,1.8666666666666667,1.4000000000000001,2.6
mara1382,93.0387,22.1138,1.5083333333333333,1,2.2
mara1404,124.175,7.79414,1.5250000000000001,1.4000000000000001,1.7
mara1378,76.6665,17.9344,2.55,1.8,3.8000000000000003
mara1385,134.865,-14.7927,2.2583333333333333,1.7,2.7
mars1254,167.73,8.72,2.625,2,2.9
mart1256,123.66842240336,-23.350911655789,3.8833333333333333,3.5,4.3
