id,year,title,imprint,author,langname,glottolog_langname,subclass,glottocode,area,langfamily,affiliation,longitude,latitude,population,subsistence,doreco,oclc,lcc,access,url,rights,copyright
uc1.32106010458906,1979,"Ponapean-English dictionary / Kenneth L. Rehg, Damian G. Sohl.","University Press of Hawaii, c1979.",NA,Pohnpeian,Pohnpeian,x-english (and english-x),pohn1238,Papunesia,Austronesian,"Austronesian, Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Micronesian, Central Micronesian, Western Micronesian, Chuukic-Ponapeic, Ponapeic",158.223,6.87212,29000,other,NA,5285851,79019451,deny,NA,ic,NA
coo.31924014112084,1946,"Dictionary, English-Polish and Polish-English.",Orbis [1946],NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,59592877,NA,deny,NA,ic,NA
loc.ark:/13960/t6tx4hz6c,1879,"Dokadny sownik polsko-angielski, czerpany z najlepszych zródel krajowych i obcych, a mianowicie ze slowników polskich: Lindego, Mrongoviusa i Ropelewskiego. [A complete dictionary, English and Polish, compiled from the dictionaries of Johnson et al.]",Neufeld & Henius [187-?],NA,Polish,Polish,english-x,poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,20527056,50052367,allow,NA,pd,NA
inu.30000057610606,1996,"English Polish learner's dictionary / C.M. Schwarz, M.A. Seaton, J. Fisiak ; [Polish translation: Jadwiga Fisiak, Michał Jankowski, Tadeusz W. Lange.","Wydawn. Naukowe PWN ; Password Publishers, Ltd., 1996.",NA,Polish,Polish,english-x,poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,38993783,NA,deny,NA,ic,NA
umn.319510015760389,1916,"Handy Polish-English and English-Polish dictionary with conversations and idioms,",D. McKay [c1916],NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,1449820,16020608,allow,NA,pd,NA
uc1.32106011561237,1995,"Highlander Polish-English, English-Highlander Polish dictionary / Jan Gutt-Mostowy ; translated by Mirosław Lipiński ; preface Thaddeus V. Gromada","Hippocrene Books, 1995",NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,33346264,NA,deny,NA,ic,NA
mdp.39015077258898,1985,"Langenscheidt's pocket Polish dictionary : English-Polish, Polish-English / by Tadeusz Grzebieniowski.","Langenscheidt, [1985]",NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,13186430,85242500,deny,NA,ic,NA
mdp.39015021475846,1988,McKay's English-Polish/Polish-English dictionary / J. Stanisławski.,"Random House, 1988.",NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,17353421,87037694,deny,NA,ic,NA
mdp.39015005116838,1941,"McLaughlin's Polish-English dictionary, in two parts: Polish-English; English-Polish.",David McKay company [1941],NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,14743109,42006861,allow,NA,pd,NA
uva.x000461108,1948,Newest pocket English-Polish and Polish-English dictionary.,Roy [1948],NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,4140820,49000783,allow,NA,pdus,NA
mdp.39015029136820,1991,"Polish phrasebook and dictionary : complete phonetics for English speakers : pronunciation as in common, everyday speech / Iwo Cyprian Pogonowski.","Hippocrene Books, c1991.",NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,23915677,92236215,deny,NA,ic,NA
osu.32435018596486,1993,"Polish-English, English-Polish dictionary / by Iwo Cyprian Pogonowksi.","Hippocrene Books, c1993.",NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,27674070,NA,deny,NA,ic,NA
uva.x000825916,1979,Practical Polish-English English-Polish dictionary / Iwo Pogonowski.,"Hippocrene Books, c1979.",NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,8256528,80085244,deny,NA,ic,NA
mdp.39015015059622,1962,"The Kościuszko Foundation dictionary: English-Polish, Polish-English. By Kazimierz Bulas and Francis J. Whitfield.","Kosciuszko Foundation, 1960-1962.",NA,Polish,Polish,x-english (and english-x),poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,1350858,NA,deny,NA,und,NA
uc1.b5182671,1978,Wielki słownik polsko-angielski : z suplementem = The great Polish-English-dictionary : suplemented / Jan Stanisławski ; red. nauk. Wiktor Jassem,"Wiedza Powszechna, 1978",NA,Polish,Polish,english-x,poli1260,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic, Polish-Silesian",18.6255,51.8439,37794600,other,NA,4882421,79338334,deny,NA,ic,NA
mdp.39015014618907,1929,"A Portuguese and English pronouncing dictionary, newly composed from the best dictionaries of both languages ... João Fernandes Valdez.",Livraría Garnier [1929],NA,Portuguese,Portuguese,x-english (and english-x),port1283,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Galician Romance, Macro-Portuguese, Brazil-Portugal Portuguese",-8.1,39.91,173000000,other,NA,52932945,NA,deny,NA,ic,NA
nnc1.0038959879,1861,"A dictionary of the English and Portuguese languages : in two parts, English and Portuguese, and Portuguese and English / by Anthony Vieyra.","Printed for Rolland, 1860-61.",NA,Portuguese,Portuguese,english-x,port1283,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Galician Romance, Macro-Portuguese, Brazil-Portugal Portuguese",-8.1,39.91,173000000,other,NA,5331257,NA,allow,NA,pd,NA
txu.059173013769403,1920,"A dictionary of the Portuguese language in two parts. 1. Portuguese-English. 2. English-Portuguese; including a large number of technical terms used in mining engineering, etc., etc., with the proper accents and the gender of every noun. By Alfred Elwes.",1920,NA,Portuguese,Portuguese,x-english (and english-x),port1283,Eurasia,Indo-European,"Indo-European, Classical Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Galician Romance, Macro-Portuguese, Brazil-Portugal Portuguese",-8.1,39.91,173000000,other,NA,27254227,NA,allow,NA,pdus,NA
