distance,langname_a,langname_b,title_a,imprint_a,year_a,title_b,imprint_b,year_b,id_a,id_b,glottocode_a,glottocode_b
34.407466395598284,Hungarian,Hungarian,A modern Hungarian-English dictionary.,"W. Heffer, 1957.",1957,Magyar angol kisszótár = Hungarian-English dictionary / vezető szerkesztő Kiséry István.,"Akadémiai Kiadó, c2006.",2006,mdp.39015008678016,mdp.39015066792709,hung1274,hung1274
34.43829192968365,Serbian-Croatian-Bosnian,Serbian-Croatian-Bosnian,"Recnik englesko-srpskohrvatski, srpskohrvatsko-engleski sa kratkam engleskog jezika = Dictionary English-Serbocroatian, Serbocroatian-English with a short grammar of English language / Branislav Grujic.","Obod, 1982.",1982,"English-Serbocroatian, Serbocroatian-English dictionary with a short grammar of English language = Rečnik englesko-srpskohrvatski, srpskohrvatsko-engleski sa kratkom gramatikom engleskog jezika / Branislav Grujić.","Hippocrene Books, 1988.",1988,uva.x002192918,mdp.39015014612397,sout1528,sout1528
34.43829192968365,Serbian-Croatian-Bosnian,Serbian-Croatian-Bosnian,"English-Serbocroatian, Serbocroatian-English dictionary with a short grammar of English language = Rečnik englesko-srpskohrvatski, srpskohrvatsko-engleski sa kratkom gramatikom engleskog jezika / Branislav Grujić.","Hippocrene Books, 1988.",1988,"Recnik englesko-srpskohrvatski, srpskohrvatsko-engleski sa kratkam engleskog jezika = Dictionary English-Serbocroatian, Serbocroatian-English with a short grammar of English language / Branislav Grujic.","Obod, 1982.",1982,mdp.39015014612397,uva.x002192918,sout1528,sout1528
34.446882684212845,Oriya,Bengali,The new dictionary (English-Oriya-English) / compiled by Satrughna Nath ; rev. by Girija Sankar Roy.,"Cuttack Trading Co., 1963.",1963,Pocket English-Bengali dictionary.,"New Bengal Press, 1964.",1964,mdp.39015024204987,mdp.39015020061449,oriy1255,beng1280
34.446882684212845,Bengali,Oriya,Pocket English-Bengali dictionary.,"New Bengal Press, 1964.",1964,The new dictionary (English-Oriya-English) / compiled by Satrughna Nath ; rev. by Girija Sankar Roy.,"Cuttack Trading Co., 1963.",1963,mdp.39015020061449,mdp.39015024204987,beng1280,oriy1255
34.45818830534062,Chinese,Chinese,A Pocket Chinese-English dictionary. Hsiu chen han ying tz'u tien.,"Chung hua shu chü, 1978.",1978,Fenn's Chinese-English pocket-dictionary.,"Harvard university press, 1960.",1960,uc1.32106012047426,uc1.32106001625562,mand1415,mand1415
34.45818830534062,Chinese,Chinese,Fenn's Chinese-English pocket-dictionary.,"Harvard university press, 1960.",1960,A Pocket Chinese-English dictionary. Hsiu chen han ying tz'u tien.,"Chung hua shu chü, 1978.",1978,uc1.32106001625562,uc1.32106012047426,mand1415,mand1415
34.462934789267294,Urdu,Oriya,"ABC Oxford practical dictionary : English into English and Urdu / compiled by M. Raza-ul-Haq Badakhshani, M. Saqlain Bhatti.","ABC Pub. House, 2006.",2006,"Students' popular dictionary; English-English-Oriya containing about 30,000 word-meanings. Compiled by Damodar Misra. Rev. by an experienced professor.",Cuttack Students' Store. [1964],1964,mdp.39015067817695,mdp.39015022928488,urdu1245,oriy1255
34.462934789267294,Oriya,Urdu,"Students' popular dictionary; English-English-Oriya containing about 30,000 word-meanings. Compiled by Damodar Misra. Rev. by an experienced professor.",Cuttack Students' Store. [1964],1964,"ABC Oxford practical dictionary : English into English and Urdu / compiled by M. Raza-ul-Haq Badakhshani, M. Saqlain Bhatti.","ABC Pub. House, 2006.",2006,mdp.39015022928488,mdp.39015067817695,oriy1255,urdu1245
34.46549638032104,Bodo-Mech,Bengali,"K.B.S. students dictionary, Anglo-Bodo / edited by Boro & Basumatari.","Kamakhya Book Stall, 1999.",1999,Pocket English-Bengali dictionary.,"New Bengal Press, 1964.",1964,mdp.39015042406028,mdp.39015020061449,bodo1269,beng1280
